family,report_count,avg_total_evidence,avg_supported,avg_unsupported,avg_support_rate
CoinMiner,35,5.514285714285714,4.485714285714286,1.0285714285714285,0.7844331065759638
Gafgyt,156,4.134615384615385,3.2115384615384617,0.9230769230769231,0.777518315018315
Hailbot,35,4.257142857142857,3.057142857142857,1.2,0.6961904761904761
Kaiji,160,5.70625,5.45625,0.25,0.9571056547619048
Mirai,148,4.594594594594595,3.9932432432432434,0.6013513513513513,0.8592664092664091
Mozi,42,4.476190476190476,3.119047619047619,1.3571428571428572,0.6992063492063493
Ransomware,23,3.782608695652174,2.1739130434782608,1.608695652173913,0.6014492753623188
Tsunami,160,3.8125,3.03125,0.78125,0.7864434523809523
XorDDoS,73,6.52054794520548,4.342465753424658,2.1780821917808217,0.6678082191780822
DockerExploit,12,4.833333333333333,4.083333333333333,0.75,0.8430555555555556
ALL,844,4.738151658767772,3.8637440758293837,0.8744075829383886,0.807251937109757
