evidence,count
Multiple MPROTECT calls changing memory permissions,7
MPROTECT event setting read/write/exec permissions on memory region,5
Attempts to access /etc/crontab via sed command,5
Process forking pattern consistent with botnet worker processes,4
MPROTECT with exec=1 enabling code execution,4
"WRITE events outputting network route table data (eth0, ac110001)",4
MPROTECT calls modifying memory permissions,4
MPROTECT events modifying memory permissions,4
Exit code 127 (command not found/execution failure),4
MEMFD_CREATE with name 'qemu-open' (fileless malware technique),3
MPROTECT with read/write/exec permissions enabled,3
Multiple MPROTECT calls suggesting memory manipulation,3
Attempt to read /etc/crontab via sed command,3
Attempts to access /etc/crontab (though file doesn't exist in this environment),3
MEMFD_CREATE event with name 'qemu-open' and flags 0,2
syscall_trace: Multiple MPROTECT calls with exec permission changes,2
Execution of /usr/bin/pkill via spawned shell,2
Multiple failed attempts to execute killall command,2
MPROTECT events with exec=1 enabling memory execution,2
"WRITE events dumping network interface/route table data (eth0, ac110001)",2
