正在处理目录: ./benign-mips ...
[成功] atftp -> 5946d743986d24b17336618ebb7de7c5fbba3463ec1c1befdeecf5c6e17bc9e0
[成功] aireplay-ng -> 4e422e57375de90bcc6c87f191b3f1e64a2f2164b3909b1b5f1b5a86237e242c
[成功] arptables -> a7cdc93caf27099b1d6a50d6c900670cd64d365440c0e90517a5deb9634e683b
[成功] airodump-ng -> 172c32d01e3e1b57efa7c24d0a5856967130d4c5305ef428ed5dc286f539e8de
[成功] besside-ng-crawler -> f81448e5a03da10fdbedbb5f17f3aea4a9ba03d0540394c9fbdf074a95b6de23
[成功] dropbearmulti -> f351f144a58f1fa8dcacca2dfca3697e1fb2a833d483539999f06ed12e25d40e
[成功] cryptcat -> 44e70de055fd731da53be2068ca77da8029fe1e99bcb1769e1a439dcc804a2a2
[成功] airbase-ng -> a7e571766abc2b2e235e7bbd9266e5cc7c4ce307c3cc1e0068732282772ea7cd
[成功] busybox-mips -> cc1113c8d530a17dc32729aeab429a5a6c811dddac99c2282c03760941cc5e85
[成功] axel -> b73218f237f56c7cadc45460087013c89d9232ca2103c6f80cf1cbf6a8203342
[成功] airserv-ng -> c94adcfd9831a51a6c0b793a09464e5edbfbce14d210ec39971341782ab8fc15
[成功] dnsmasq -> 4eff7acbd564f9e381fcae1de950253e8c2f6b6716432010e2a2c2dfbbe289f5
[成功] airdecloak-ng -> f18b6a383959dde6e1645b1b2f5474d3831ad20d7a6619a8c27a9340d2ed10af
[成功] airtun-ng -> 9326419d7e80133f0acb8a9ec078bb913cfa0ede03a83d7b4d43c1e1d2ec7dfd
[成功] besside-ng -> 52b0837405fe988fd042a9438015cf9061da8fea6cdc9797b04a31bc3a78980f
[成功] netcat -> 61b96e3bcfb394ffcf7722559bb48005c189cd01c68ff947529555ec38545f0e
[成功] ngircd -> 8f7cc5bed50d9cf2c990f18652a0293bfe0d6e787908f6474c5b89bb41e06099
[成功] lua -> 64e97612de9139dc8823c4fe9665090b742362da5508ea3fedbdb993849acdc2
[成功] openssl -> 9d00a84e48fb223548b3ecb0108cf8d084669aeb3a47afea49d51e10c0d22f3d
[成功] dbd-generic -> ddf262da164ef92c02e6cb10effcd95b2d3f947a0e5eeb9d7cfb9f6ba03ba4e7
[成功] nmap -> ddd84c961048a44431871ef4238544e92c0447be8887b36286e697a1e0f5e953
[成功] airdecap-ng -> 05706dd7dcd44fad9a7514ec71086dbddad761fe534fd4b92eff5e2c2ee563a6
[成功] luac -> 3dff8a5d2b3c72632aed33b98f68ca30f7e3ea8b8c7908f9c98b7438a9f0993b
[成功] htop -> b1c37430a2c5f88ba3dd50d70386cf2253bb8bdef8b370e1176eea80f89223af
[成功] atftpd -> 476965ea4e996707b8103314703208de48bfa9d551215d6fdad8c2a6aa9c56d5
[成功] autossh -> 82ca3fab3433cf60f0c451ac1c4d95e35e0c9f11cc402bae8ab108308681629b
[成功] aircrack-ng -> 6f0dbe32e0aff91b287d3f651bca74b950065145adad891ffe17d5471faf520d
[成功] curl -> 68a5615e0cab201ae02709c127e785eedffad30c55d9708655274f1ae40d53eb
[成功] bash -> 880026daedbb54b15f2eba8267cf09ee6bcccea69fbb02c61bdb8c94d21a789f
