正在处理目录: ./benign/X86_32-2 ...
[成功] binary_insertion_sort_x86_32 -> 5930d03bc78be0a7fff5a667571a602ea132b63d4ccb40dd6c8733e132eaa3a1
[成功] bead_sort_x86_32 -> 2fd0065a3451a02ce4d91e5f0b8dbbd9c920e59881c30b21a95d2ebea2957b0b
[成功] boyer_moore_search_x86_32 -> 2afa52eb5e62a92d511d6a78ea4c68f1ff4a1a0996abfd3b36966d3de812c638
[成功] bogo_sort_x86_32 -> 82d742693f713e0ea4c83b01a2750942bb108da2a987ce2794d12ead509ffaed
[成功] bubble_sort_x86_32 -> e99e4df49a3b8f5263513ac1133800c883d27929e4c8fc741c5829eabd227270
[成功] binary_search_x86_32 -> 1ba0f6b1f08f29332224c8db94ae5c240f1d07e5abf374dee4da2b5ef243fe85
[成功] circular_doubly_linked_list_x86_32 -> 15f49c5e29d4aea895fb02448d7dcd7e095f2b020e342b9da6b39e2c87a3a39e
[成功] armstrong_number_x86_32 -> c1026e38d842ab9af10433120cbda2fa728d2593e1104b2aa1b25d3fd61cdc4d
[成功] 6_x86_32 -> d9defdb85ec751761c10fd10dece1b0b0100843b16f6236c1b29588081ea5677
[成功] cantor_set_x86_32 -> fd3daf6e6273b9c2e5469f91623d8338fbfcd454f10df1657f6e1f048c75d73a
[成功] bellman_ford_x86_32 -> 28836bafe9b4d6f25c3d73fb33e57de9fbe856151b2d8c507f1b0c6f8a5ca38a
[成功] adaline_learning_x86_32 -> 4fdaecde29ed328835c50653fc59f51eeed3d11e88aae325ac7fbd7d183a5e82
[成功] cartesian_to_polar_x86_32 -> 6c290ca72f10a5a3ea9784c9958267e6361e2bb44613e91f573be6435e2fc142
[成功] binary_to_octal_x86_32 -> d9aeb3e1c050fccbb6c7b2dd52b4d6f8450041206facaef4bbf649f40b90449e
[成功] celsius_to_fahrenheit_x86_32 -> 39067a5aba7c732d216eed6bc788b9316d3a3d7ab9738124eed7344408aadfa4
[成功] c_atoi_str_to_integer_x86_32 -> 82aab5bc89838ef2c3301d82b8d1a0069a47c1f35bf101dbe0b3fece9c078bb8
[成功] binary_search_tree_x86_32 -> 0f2488a94c02d608181aa13f32c120f5f0f58e93ea82b3c31dd3c3b7a509886f
[成功] alaw_x86_32 -> b676e4c0516d2ffc1c45613ed9efc4836d47b93c7fffce4105a8a31842116857
[成功] binary_to_decimal_x86_32 -> 8a25761b5a77993dd0332362ec24af7d64c16df44bcf1970e265ac251ed7bba0
[成功] bubble_sort_2_x86_32 -> 0efbabeaef31e4814335f9f2c66e672b95dd4a27d8168292f580a867a583b5a4
[成功] ascending_priority_queue_x86_32 -> aa65ed9919b3e724afb47c08a8baf50983efc991206f22e4fe02b5d25b28f15e
[成功] bfs_x86_32 -> 44217e91fb7bf41dea68498e52a7b6ee04b7d943fee0bce5f9c2b1ed485862b0
[成功] bubble_sort_recursion_x86_32 -> c3e8dca97bb59254b1173e0a51c953e73feaf7b195be9558ea5441516f9bfde5
[成功] bucket_sort_x86_32 -> 70a8aa864cb1e098a85371a46f36ba17f1b48e23453f385ac375eedf1921ca1d
[成功] bisection_method_x86_32 -> 8a5fef5e93434756d45a2acb4a06a59e1eeddf140f79ca0ca40ca012c8f7aec1
[成功] client_x86_32 -> fb847f661062ae81d3d1615dea5f5da42175d0f2ab22925d3e1b3cbbbadcb41e
[成功] avl_tree_x86_32 -> 89597ef7a998a273f9e4b0b7913cfe7461c815204e6866d78b6c5efbd37389d5
[成功] binary_to_hexadecimal_x86_32 -> 092b495c17f7df897bb2c0b74bbd266f78978a03ee4fe57db34b81499912651e
[成功] affine_x86_32 -> eac2f86d923f3a2651b6e4eecf0e711b59a3bf53624bcf7f69b705caa038a0c1
[成功] catalan_x86_32 -> be5f0e1cd516872fc86a339bf04af27a30306b8d735715f60c044f74ca02de94
