正在处理目录: ./benign/riscV64-3 ...
[成功] dijkstra_riscv64 -> c1ed77b0c84c91ce2521fb73212235fd387c695bad6efcdd06a50945f5c22580
[成功] parenthesis_riscv64 -> 5154291a615ef95d4ee248456b6d63fbcf718f1966ac0db18f745a26da7807fc
[成功] hash_xor8_riscv64 -> cadf36cf70545491fcd291e5e5730d5a2bdea9c39aae41301733c93f9af09c30
[成功] check_riscv64 -> b262a5edc2ab402fcbf62c69f0f68f7096988fbeff53864392f603aaeb1e79d5
[成功] tic_tac_toe_riscv64 -> 0a952b457f15691bbc9cda158e6a2f3a2168c43cf666be61b2e2872574d399fa
[成功] kohonen_som_topology_riscv64 -> a460a2a9ee9fee624786be2fda7bf42dc197ece1d24fa64ea92ed98faccd541a
[成功] vectors_3d_riscv64 -> 0528ceb2a0dc7cf5e59fe398e1e8961c6c149256cca900e7a4d34fca96aa2123
[成功] hash_sdbm_riscv64 -> 70800ab72873c7ae21659a45529a91648d185def6429d0d2c938db687cf508da
[成功] vector_riscv64 -> b84d89490cf245ca4301b1c0020ebc75224d95989d4c34fd580589ea4e09ee37
[成功] dynamic_stack_riscv64 -> ee385f1bf1949d98557d63333714449c475427ef57e8c94438e03810ebc9068a
[成功] tree_riscv64 -> 10d61ea709de2afe4dfde1361d1c2c01f57650914bfdd8e1e0918388462777e4
[成功] k_means_clustering_riscv64 -> 0c35f018f2980cc6d1d0dac4ee0dd4f8f66f6ead57bdf127bcf0e684380b48f7
[成功] matrix_chain_order_riscv64 -> f15403d1f29fef25b7b891548981fe67dbafe32977bf23c771c6b07c0b0fb526
[成功] hash_crc32_riscv64 -> a47bb52bdb0d560b4a2e847a50cf55b7c791a2b08fbbd100c0003029f9690bad
[成功] test_min_printf_riscv64 -> 62248bbb1e10a48d8c50dae7aac166b4255f673d19c06622e50cfc5dae8c28ad
[成功] hash_adler32_riscv64 -> 24d32f39af658da03a80aa99490a391c9ac9bdd8114e2ab62dfbcc4f681d7ee8
[成功] map_riscv64 -> e3d394643e4662930003875dc04dcff2806e4ab0e72d6a3be62c1aed00503f11
[成功] naval_battle_riscv64 -> 87e72b46bfb3b85dba8efc92ffc039623ee7889571a51b7bb4456193a13f98cc
[成功] prim_riscv64 -> bb80e30140a0bef7ca1067414773a4f283778dc004cf8ee7b135dcff3d9e27a5
[成功] hangman_riscv64 -> 6e8c984a6cf8cbf63bfc5643cd3ef74b773e2687371e861231a966495e03f69c
[成功] spirograph_riscv64 -> f1ad0ecf6c0879cfb9d19c2e754cc9ceae839c04e71dd6b6a37126e419ed9f63
[成功] quaternions_riscv64 -> f562e02a020a0c66200bbd51693f801855726f8a6b96a51ce63d3671f135f094
[成功] lcs_riscv64 -> 464460ea3fb34b4742c8f3f03be0b2facca436c5f9c355e8eccc556e2c0d6afb
[成功] hash_blake2b_riscv64 -> 2cb026a376999f73116c41d5355caf3de5f1eee6e8cf021ec0d9c181189cf5dd
[成功] kohonen_som_trace_riscv64 -> eff0c1f51af31ba36b2fd60e053492427442ac630205e6da0e47a8fe7b8d538c
[成功] get_riscv64 -> 667dc1d39d2ce138a0a478fa7e6238f90af006da5015851a13d2a9a3c16dfd44
[成功] hash_djb2_riscv64 -> 6b4443e4821f057724fc5d1fdb22a21b4009d369162eea381fb5a15f10daa481
[成功] trie_riscv64 -> e06a4525f904a08438d77b776ed49a47a60cbc167a1273109c3406c90bef25a5
