Filesystem     1K-blocks      Used Available Use% Mounted on
overlay        199767352 108522244  81024616  58% /
tmpfs              65536         0     65536   0% /dev
shm                65536         0     65536   0% /dev/shm
/dev/nvme0n1p9 199767352 108522244  81024616  58% /usr/sbin/docker-init
tmpfs           15895484         0  15895484   0% /proc/asound
tmpfs           15895484         0  15895484   0% /proc/acpi
tmpfs           15895484         0  15895484   0% /proc/scsi
tmpfs           15895484         0  15895484   0% /sys/firmware
tmpfs           15895484         0  15895484   0% /sys/devices/virtual/powercap
tmpfs           15895484         0  15895484   0% /sys/devices/system/cpu/cpu0/thermal_throttle
tmpfs           15895484         0  15895484   0% /sys/devices/system/cpu/cpu1/thermal_throttle
tmpfs           15895484         0  15895484   0% /sys/devices/system/cpu/cpu2/thermal_throttle
tmpfs           15895484         0  15895484   0% /sys/devices/system/cpu/cpu3/thermal_throttle
tmpfs           15895484         0  15895484   0% /sys/devices/system/cpu/cpu4/thermal_throttle
tmpfs           15895484         0  15895484   0% /sys/devices/system/cpu/cpu5/thermal_throttle
tmpfs           15895484         0  15895484   0% /sys/devices/system/cpu/cpu6/thermal_throttle
tmpfs           15895484         0  15895484   0% /sys/devices/system/cpu/cpu7/thermal_throttle
