ADDR DATA 5432-1098-7654-3210
0000 0241 0000-0010-0100-0001
0002 8185 1000-0001-1000-0101
0004 0000 0000-0000-0000-0000
0006 FFFF 1111-1111-1111-1111
0008 AD05 1010-1101-0000-0101
0010 003F 0000-0000-0011-1111
0012 FFFF 1111-1111-1111-1111
0014 AF05 1010-1111-0000-0101
0016 7E3F 0111-1110-0011-1111
0018 FFFF 1111-1111-1111-1111
0020 8185 1000-0001-1000-0101
0022 0000 0000-0000-0000-0000
0024 FFFF 1111-1111-1111-1111
0026 8505 1000-0101-0000-0101
0028 0700 0000-0111-0000-0000
0030 FFFF 1111-1111-1111-1111
0032 8705 1000-0111-0000-0101
0034 0000 0000-0000-0000-0000
0036 FFFF 1111-1111-1111-1111
0038 8185 1000-0001-1000-0101
0040 0000 0000-0000-0000-0000
0042 FFFF 1111-1111-1111-1111
0044 8145 1000-0001-0100-0101
0046 007D 0000-0000-0111-1101
0048 FFFF 1111-1111-1111-1111
0050 8345 1000-0011-0100-0101
0052 0000 0000-0000-0000-0000
0054 FFFF 1111-1111-1111-1111
