family,tp,fp,tn,fn,acc,f1_mal,f1_ben,frr,fnr
CoinMiner,17,0,0,1,0.944444,0.971429,0.000000,0.000000,0.055556
Gafgyt,120,0,0,29,0.805369,0.892193,0.000000,0.000000,0.194631
Hailbot,28,0,0,7,0.800000,0.888889,0.000000,0.000000,0.200000
Kaiji,156,0,0,4,0.975000,0.987342,0.000000,0.000000,0.025000
Mirai,137,0,0,15,0.901316,0.948097,0.000000,0.000000,0.098684
Mozi,19,0,0,32,0.372549,0.542857,0.000000,0.000000,0.627451
Tsunami,144,0,0,34,0.808989,0.894410,0.000000,0.000000,0.191011
XorDDoS,71,0,0,2,0.972603,0.986111,0.000000,0.000000,0.027397
docker,12,0,0,0,1.000000,1.000000,0.000000,0.000000,0.000000
arm32,0,2,29,0,0.935484,0.000000,0.966667,0.064516,0.000000
arm64,0,6,24,0,0.800000,0.000000,0.888889,0.200000,0.000000
mips,0,3,25,0,0.892857,0.000000,0.943396,0.107143,0.000000
x86_32,0,7,23,0,0.766667,0.000000,0.867925,0.233333,0.000000
x86_64,0,1,13,0,0.928571,0.000000,0.962963,0.071429,0.000000
ALL,704,19,114,124,0.851197,0.907801,0.614555,0.142857,0.149758
